Datetime,AEP_MW,Consumption
2004-10-03,13154.802816901409,Basso
2004-10-10,13881.172619047618,Basso
2004-10-17,14155.857142857143,Basso
2004-10-24,14162.125,Basso
2004-10-31,13925.892215568862,Basso
2004-11-07,14336.166666666666,Basso
2004-11-14,15364.886904761905,Basso
2004-11-21,14782.136904761905,Basso
2004-11-28,14377.416666666666,Basso
2004-12-05,16104.654761904761,Alto
2004-12-12,15711.720238095239,Alto
2004-12-19,17818.25,Alto
2004-12-26,17459.630952380954,Alto
2005-01-02,15505.791666666666,Alto
2005-01-09,15506.434523809523,Alto
2005-01-16,16141.279761904761,Alto
2005-01-23,19418.011904761905,Alto
2005-01-30,18419.005952380954,Alto
2005-02-06,16879.5,Alto
2005-02-13,16412.988095238095,Alto
2005-02-20,16498.494047619046,Alto
2005-02-27,16294.464285714286,Alto
2005-03-06,17077.970238095237,Alto
2005-03-13,16603.154761904763,Alto
2005-03-20,15845.25,Alto
2005-03-27,15043.940476190477,Basso
2005-04-03,14512.20359281437,Basso
2005-04-10,13711.779761904761,Basso
2005-04-17,13715.10119047619,Basso
2005-04-24,14265.952380952382,Basso
2005-05-01,14121.434523809523,Basso
2005-05-08,14012.89880952381,Basso
2005-05-15,14013.702380952382,Basso
2005-05-22,13604.779761904761,Basso
2005-05-29,13430.672619047618,Basso
2005-06-05,14075.654761904761,Basso
2005-06-12,17167.065476190477,Alto
2005-06-19,15296.35119047619,Basso
2005-06-26,16494.636904761905,Alto
2005-07-03,16772.630952380954,Alto
2005-07-10,15516.684523809523,Alto
2005-07-17,17349.065476190477,Alto
2005-07-24,18074.97619047619,Alto
2005-07-31,17332.440476190477,Alto
2005-08-07,17926.70238095238,Alto
2005-08-14,18017.494047619046,Alto
2005-08-21,17335.696428571428,Alto
2005-08-28,15974.035714285714,Alto
2005-09-04,15639.797619047618,Alto
2005-09-11,15316.327380952382,Basso
2005-09-18,15862.494047619048,Alto
2005-09-25,15529.333333333334,Alto
2005-10-02,14284.869047619048,Basso
2005-10-09,14713.797619047618,Basso
2005-10-16,13825.458333333334,Basso
2005-10-23,14042.244047619048,Basso
2005-10-30,15245.574850299401,Basso
2005-11-06,14375.440476190477,Basso
2005-11-13,14641.369047619048,Basso
2005-11-20,15651.029761904761,Alto
2005-11-27,15791.083333333334,Alto
2005-12-04,16699.113095238095,Alto
2005-12-11,18420.559523809523,Alto
2005-12-18,18245.714285714286,Alto
2005-12-25,17689.14285714286,Alto
2006-01-01,15550.511904761905,Alto
2006-01-08,16406.863095238095,Alto
2006-01-15,16303.785714285714,Alto
2006-01-22,16495.696428571428,Alto
2006-01-29,16630.678571428572,Alto
2006-02-05,16492.416666666668,Alto
2006-02-12,17810.571428571428,Alto
2006-02-19,17367.339285714286,Alto
2006-02-26,16967.619047619046,Alto
2006-03-05,16634.875,Alto
2006-03-12,15602.577380952382,Alto
2006-03-19,15637.952380952382,Alto
2006-03-26,16711.255952380954,Alto
2006-04-02,14804.359281437126,Basso
2006-04-09,14526.791666666666,Basso
2006-04-16,13818.714285714286,Basso
2006-04-23,13731.345238095239,Basso
2006-04-30,13941.35119047619,Basso
2006-05-07,13913.005952380952,Basso
2006-05-14,14048.339285714286,Basso
2006-05-21,14079.22619047619,Basso
2006-05-28,14547.095238095239,Basso
2006-06-04,15882.434523809523,Alto
2006-06-11,14767.595238095239,Basso
2006-06-18,15547.315476190477,Alto
2006-06-25,16374.791666666666,Alto
2006-07-02,15962.202380952382,Alto
2006-07-09,14756.690476190477,Basso
2006-07-16,17492.041666666668,Alto
2006-07-23,17966.541666666668,Alto
2006-07-30,17821.113095238095,Alto
2006-08-06,19215.011904761905,Alto
2006-08-13,16962.494047619046,Alto
2006-08-20,17000.321428571428,Alto
2006-08-27,17024.45238095238,Alto
2006-09-03,15454.27380952381,Basso
2006-09-10,14625.029761904761,Basso
2006-09-17,14704.154761904761,Basso
2006-09-24,14396.964285714286,Basso
2006-10-01,13944.72619047619,Basso
2006-10-08,14421.505952380952,Basso
2006-10-15,14567.517857142857,Basso
2006-10-22,14671.05357142857,Basso
2006-10-29,15835.778443113772,Alto
2006-11-05,15654.791666666666,Alto
2006-11-12,15018.434523809523,Basso
2006-11-19,15773.690476190477,Alto
2006-11-26,15115.315476190477,Basso
2006-12-03,15615.720238095239,Alto
2006-12-10,18395.85714285714,Alto
2006-12-17,16144.636904761905,Alto
2006-12-24,15809.42857142857,Alto
2006-12-31,15108.708333333334,Basso
2007-01-07,15481.482142857143,Basso
2007-01-14,16814.928571428572,Alto
2007-01-21,17661.714285714286,Alto
2007-01-28,18144.85119047619,Alto
2007-02-04,19647.964285714286,Alto
2007-02-11,20874.488095238095,Alto
2007-02-18,19879.72619047619,Alto
2007-02-25,17589.494047619046,Alto
2007-03-04,17064.571428571428,Alto
2007-03-11,16938.622754491018,Alto
2007-03-18,16299.19642857143,Alto
2007-03-25,15343.720238095239,Basso
2007-04-01,14527.267857142857,Basso
2007-04-08,15732.494047619048,Alto
2007-04-15,16084.666666666666,Alto
2007-04-22,14909.232142857143,Basso
2007-04-29,14247.005952380952,Basso
2007-05-06,14503.809523809523,Basso
2007-05-13,15071.125,Basso
2007-05-20,14551.892857142857,Basso
2007-05-27,15791.392857142857,Alto
2007-06-03,16510.434523809523,Alto
2007-06-10,16080.827380952382,Alto
2007-06-17,16804.630952380954,Alto
2007-06-24,16841.178571428572,Alto
2007-07-01,17319.321428571428,Alto
2007-07-08,16085.267857142857,Alto
2007-07-15,17257.97619047619,Alto
2007-07-22,16699.613095238095,Alto
2007-07-29,16463.369047619046,Alto
2007-08-05,18701.51785714286,Alto
2007-08-12,19711.26785714286,Alto
2007-08-19,17527.35714285714,Alto
2007-08-26,18634.39285714286,Alto
2007-09-02,17422.660714285714,Alto
2007-09-09,17716.0,Alto
2007-09-16,15467.720238095239,Basso
2007-09-23,15926.57142857143,Alto
2007-09-30,16026.940476190477,Alto
2007-10-07,16224.607142857143,Alto
2007-10-14,15153.666666666666,Basso
2007-10-21,14687.744047619048,Basso
2007-10-28,14732.994047619048,Basso
2007-11-04,15477.077844311378,Basso
2007-11-11,16244.285714285714,Alto
2007-11-18,16047.869047619048,Alto
2007-11-25,15336.714285714286,Basso
2007-12-02,17253.583333333332,Alto
