Datetime,DAYTON_MW,Consumption
2004-10-03,1694.9577464788733,Basso
2004-10-10,1864.3511904761904,Basso
2004-10-17,1880.7916666666667,Basso
2004-10-24,1895.7916666666667,Basso
2004-10-31,1897.6646706586826,Basso
2004-11-07,1906.4642857142858,Basso
2004-11-14,1978.3214285714287,Basso
2004-11-21,1915.2857142857142,Basso
2004-11-28,1848.2738095238096,Basso
2004-12-05,2095.684523809524,Alto
2004-12-12,2069.8630952380954,Alto
2004-12-19,2306.6964285714284,Alto
2004-12-26,2285.7619047619046,Alto
2005-01-02,1911.7380952380952,Basso
2005-01-09,2082.3333333333335,Alto
2005-01-16,2145.6488095238096,Alto
2005-01-23,2454.035714285714,Alto
2005-01-30,2341.6785714285716,Alto
2005-02-06,2200.1071428571427,Alto
2005-02-13,2153.9166666666665,Alto
2005-02-20,2154.3035714285716,Alto
2005-02-27,2143.404761904762,Alto
2005-03-06,2180.875,Alto
2005-03-13,2180.1488095238096,Alto
2005-03-20,2045.125,Alto
2005-03-27,1994.0654761904761,Basso
2005-04-03,1928.6347305389222,Basso
2005-04-10,1827.172619047619,Basso
2005-04-17,1821.529761904762,Basso
2005-04-24,1905.8869047619048,Basso
2005-05-01,1886.482142857143,Basso
2005-05-08,1857.3869047619048,Basso
2005-05-15,1911.827380952381,Basso
2005-05-22,1830.4404761904761,Basso
2005-05-29,1794.029761904762,Basso
2005-06-05,1928.154761904762,Basso
2005-06-12,2487.0,Alto
2005-06-19,2112.0416666666665,Alto
2005-06-26,2348.1309523809523,Alto
2005-07-03,2363.4761904761904,Alto
2005-07-10,2183.595238095238,Alto
2005-07-17,2396.6428571428573,Alto
2005-07-24,2668.940476190476,Alto
2005-07-31,2497.4761904761904,Alto
2005-08-07,2597.3630952380954,Alto
2005-08-14,2629.9226190476193,Alto
2005-08-21,2430.4880952380954,Alto
2005-08-28,2249.7619047619046,Alto
2005-09-04,2187.0,Alto
2005-09-11,2177.5238095238096,Alto
2005-09-18,2210.5714285714284,Alto
2005-09-25,2172.8035714285716,Alto
2005-10-02,1967.517857142857,Basso
2005-10-09,2041.4642857142858,Alto
2005-10-16,1880.6964285714287,Basso
2005-10-23,1895.1607142857142,Basso
2005-10-30,1990.131736526946,Basso
2005-11-06,1916.1845238095239,Basso
2005-11-13,1925.5654761904761,Basso
2005-11-20,2084.345238095238,Alto
