Datetime,DOM_MW,Consumption
2005-05-01,7812.347826086957,Basso
2005-05-08,8526.72619047619,Basso
2005-05-15,8950.875,Basso
2005-05-22,8576.922619047618,Basso
2005-05-29,8722.136904761905,Basso
2005-06-05,9152.85119047619,Basso
2005-06-12,12366.011904761905,Alto
2005-06-19,12067.654761904761,Alto
2005-06-26,10815.60119047619,Basso
2005-07-03,12289.107142857143,Alto
2005-07-10,11722.02380952381,Alto
2005-07-17,12829.607142857143,Alto
2005-07-24,13447.166666666666,Alto
2005-07-31,12923.577380952382,Alto
2005-08-07,13245.434523809523,Alto
2005-08-14,13295.297619047618,Alto
2005-08-21,12861.85119047619,Alto
2005-08-28,11356.339285714286,Alto
2005-09-04,12117.535714285714,Alto
2005-09-11,10425.67857142857,Basso
2005-09-18,11896.267857142857,Alto
2005-09-25,11273.160714285714,Alto
2005-10-02,9666.892857142857,Basso
2005-10-09,10031.10119047619,Basso
2005-10-16,8695.642857142857,Basso
2005-10-23,8751.684523809523,Basso
2005-10-30,9504.48502994012,Basso
2005-11-06,8905.166666666666,Basso
2005-11-13,8982.654761904761,Basso
2005-11-20,9640.375,Basso
2005-11-27,10430.666666666666,Basso
2005-12-04,10062.154761904761,Basso
2005-12-11,11963.57142857143,Alto
2005-12-18,12020.904761904761,Alto
2005-12-25,11695.732142857143,Alto
2006-01-01,10214.767857142857,Basso
2006-01-08,10955.690476190477,Alto
2006-01-15,9959.577380952382,Basso
2006-01-22,10364.30357142857,Basso
2006-01-29,10835.761904761905,Basso
2006-02-05,9848.642857142857,Basso
2006-02-12,11538.07142857143,Alto
2006-02-19,10913.327380952382,Basso
2006-02-26,11064.797619047618,Alto
2006-03-05,10728.44642857143,Basso
2006-03-12,9635.059523809523,Basso
2006-03-19,9506.5,Basso
2006-03-26,10389.511904761905,Basso
2006-04-02,9051.610778443113,Basso
2006-04-09,8853.547619047618,Basso
2006-04-16,8770.434523809523,Basso
2006-04-23,8727.863095238095,Basso
2006-04-30,8630.77380952381,Basso
2006-05-07,8929.863095238095,Basso
2006-05-14,8776.880952380952,Basso
2006-05-21,8784.80357142857,Basso
2006-05-28,9579.922619047618,Basso
2006-06-04,11543.0,Alto
2006-06-11,9976.744047619048,Basso
2006-06-18,10379.839285714286,Basso
2006-06-25,12390.47619047619,Alto
2006-07-02,11899.720238095239,Alto
2006-07-09,11412.589285714286,Alto
2006-07-16,12963.660714285714,Alto
2006-07-23,13592.89880952381,Alto
2006-07-30,13274.940476190477,Alto
2006-08-06,14706.630952380952,Alto
2006-08-13,12109.910714285714,Alto
2006-08-20,12594.238095238095,Alto
2006-08-27,12734.154761904761,Alto
