Datetime,DUQ_MW,Consumption
2005-01-02,1363.1702127659576,Basso
2005-01-09,1625.3095238095239,Basso
2005-01-16,1634.1011904761904,Basso
2005-01-23,1797.5,Alto
2005-01-30,1768.107142857143,Alto
2005-02-06,1661.357142857143,Alto
2005-02-13,1649.5416666666667,Basso
2005-02-20,1659.6785714285713,Alto
2005-02-27,1658.1785714285713,Basso
2005-03-06,1688.6607142857142,Alto
2005-03-13,1696.279761904762,Alto
2005-03-20,1621.8630952380952,Basso
2005-03-27,1591.3035714285713,Basso
2005-04-03,1492.185628742515,Basso
2005-04-10,1430.9404761904761,Basso
2005-04-17,1411.8333333333333,Basso
2005-04-24,1456.0595238095239,Basso
2005-05-01,1469.4464285714287,Basso
2005-05-08,1494.3869047619048,Basso
2005-05-15,1552.1785714285713,Basso
2005-05-22,1477.375,Basso
2005-05-29,1473.0357142857142,Basso
2005-06-05,1537.0416666666667,Basso
2005-06-12,2039.9166666666667,Alto
2005-06-19,1765.470238095238,Alto
2005-06-26,1882.7857142857142,Alto
2005-07-03,1994.595238095238,Alto
2005-07-10,1875.5119047619048,Alto
2005-07-17,2110.7023809523807,Alto
2005-07-24,2073.1011904761904,Alto
2005-07-31,2000.9404761904761,Alto
2005-08-07,2123.7321428571427,Alto
2005-08-14,2172.279761904762,Alto
2005-08-21,1981.0357142857142,Alto
2005-08-28,1730.077380952381,Alto
2005-09-04,1725.029761904762,Alto
2005-09-11,1690.404761904762,Alto
2005-09-18,1863.7916666666667,Alto
2005-09-25,1729.232142857143,Alto
2005-10-02,1563.6309523809523,Basso
2005-10-09,1628.7857142857142,Basso
2005-10-16,1499.5059523809523,Basso
2005-10-23,1497.857142857143,Basso
2005-10-30,1560.497005988024,Basso
2005-11-06,1510.7738095238096,Basso
2005-11-13,1539.9880952380952,Basso
2005-11-20,1593.142857142857,Basso
2005-11-27,1576.5059523809523,Basso
2005-12-04,1659.1607142857142,Alto
2005-12-11,1773.892857142857,Alto
2005-12-18,1799.6785714285713,Alto
2005-12-25,1720.5654761904761,Alto
2006-01-01,1586.5,Basso
