Datetime,EKPC_MW,Consumption
2013-06-02,1273.3617021276596,Basso
2013-06-09,1249.8690476190477,Basso
2013-06-16,1382.017857142857,Basso
2013-06-23,1439.6130952380952,Basso
2013-06-30,1464.5119047619048,Alto
2013-07-07,1273.422619047619,Basso
2013-07-14,1480.220238095238,Alto
2013-07-21,1656.2916666666667,Alto
2013-07-28,1378.6904761904761,Basso
2013-08-04,1342.095238095238,Basso
2013-08-11,1463.25,Basso
2013-08-18,1318.6011904761904,Basso
2013-08-25,1448.154761904762,Basso
2013-09-01,1559.142857142857,Alto
2013-09-08,1385.982142857143,Basso
2013-09-15,1331.6011904761904,Basso
2013-09-22,1186.4285714285713,Basso
2013-09-29,1090.1011904761904,Basso
2013-10-06,1191.8154761904761,Basso
2013-10-13,1056.6964285714287,Basso
2013-10-20,1170.2738095238096,Basso
2013-10-27,1399.8392857142858,Basso
2013-11-03,1175.7724550898204,Basso
2013-11-10,1332.8511904761904,Basso
2013-11-17,1509.327380952381,Alto
2013-11-24,1505.095238095238,Alto
2013-12-01,1790.7142857142858,Alto
2013-12-08,1587.0059523809523,Alto
2013-12-15,1924.1190476190477,Alto
2013-12-22,1545.4464285714287,Alto
2013-12-29,1696.392857142857,Alto
2014-01-05,1937.2619047619048,Alto
2014-01-12,2099.565476190476,Alto
2014-01-19,1887.8511904761904,Alto
2014-01-26,2326.6785714285716,Alto
2014-02-02,2153.5,Alto
2014-02-09,2082.7678571428573,Alto
2014-02-16,2059.8511904761904,Alto
2014-02-23,1504.047619047619,Alto
2014-03-02,1835.1785714285713,Alto
2014-03-09,1802.245508982036,Alto
2014-03-16,1472.8035714285713,Alto
2014-03-23,1452.077380952381,Basso
2014-03-30,1561.0654761904761,Alto
2014-04-06,1224.3630952380952,Basso
2014-04-13,1166.279761904762,Basso
2014-04-20,1250.8095238095239,Basso
2014-04-27,1140.827380952381,Basso
2014-05-04,1151.857142857143,Basso
2014-05-11,1216.1964285714287,Basso
2014-05-18,1258.857142857143,Basso
2014-05-25,1217.0654761904761,Basso
2014-06-01,1375.375,Basso
2014-06-08,1344.7380952380952,Basso
2014-06-15,1292.0833333333333,Basso
2014-06-22,1593.2440476190477,Alto
2014-06-29,1545.6369047619048,Alto
2014-07-06,1425.3095238095239,Basso
2014-07-13,1540.517857142857,Alto
2014-07-20,1322.142857142857,Basso
2014-07-27,1491.0535714285713,Alto
2014-08-03,1344.4107142857142,Basso
2014-08-10,1442.7261904761904,Basso
2014-08-17,1362.7916666666667,Basso
2014-08-24,1566.9107142857142,Alto
2014-08-31,1554.3154761904761,Alto
2014-09-07,1503.279761904762,Alto
2014-09-14,1277.9583333333333,Basso
2014-09-21,1087.0357142857142,Basso
2014-09-28,1147.7916666666667,Basso
2014-10-05,1229.4166666666667,Basso
2014-10-12,1148.422619047619,Basso
2014-10-19,1172.2559523809523,Basso
2014-10-26,1233.577380952381,Basso
2014-11-02,1370.0473372781064,Basso
2014-11-09,1380.2261904761904,Basso
2014-11-16,1661.2142857142858,Alto
2014-11-23,1820.2142857142858,Alto
2014-11-30,1539.8988095238096,Alto
2014-12-07,1545.607142857143,Alto
2014-12-14,1700.5833333333333,Alto
2014-12-21,1741.8630952380952,Alto
2014-12-28,1422.1845238095239,Basso
2015-01-04,1682.1309523809523,Alto
2015-01-11,2235.9583333333335,Alto
2015-01-18,1804.6309523809523,Alto
2015-01-25,1660.857142857143,Alto
2015-02-01,1825.797619047619,Alto
2015-02-08,1777.7916666666667,Alto
2015-02-15,1958.5595238095239,Alto
2015-02-22,2435.3690476190477,Alto
2015-03-01,2056.2261904761904,Alto
2015-03-08,1837.9041916167664,Alto
2015-03-15,1305.8809523809523,Basso
2015-03-22,1334.6904761904761,Basso
2015-03-29,1453.5892857142858,Basso
2015-04-05,1210.047619047619,Basso
2015-04-12,1108.5535714285713,Basso
2015-04-19,1061.9583333333333,Basso
2015-04-26,1191.5654761904761,Basso
2015-05-03,1170.7380952380952,Basso
2015-05-10,1289.8809523809523,Basso
2015-05-17,1234.8630952380952,Basso
2015-05-24,1178.4404761904761,Basso
2015-05-31,1269.2142857142858,Basso
2015-06-07,1245.047619047619,Basso
2015-06-14,1449.452380952381,Basso
2015-06-21,1487.1607142857142,Alto
2015-06-28,1461.029761904762,Basso
2015-07-05,1253.2142857142858,Basso
2015-07-12,1419.0357142857142,Basso
2015-07-19,1524.404761904762,Alto
2015-07-26,1517.7559523809523,Alto
2015-08-02,1571.6666666666667,Alto
2015-08-09,1431.482142857143,Basso
2015-08-16,1445.8392857142858,Basso
2015-08-23,1374.1488095238096,Basso
2015-08-30,1295.2916666666667,Basso
2015-09-06,1510.6190476190477,Alto
2015-09-13,1308.0,Basso
2015-09-20,1202.392857142857,Basso
2015-09-27,1164.8690476190477,Basso
2015-10-04,1184.0416666666667,Basso
2015-10-11,1092.8988095238096,Basso
2015-10-18,1132.8095238095239,Basso
2015-10-25,1130.1369047619048,Basso
2015-11-01,1152.9704142011835,Basso
2015-11-08,1147.9166666666667,Basso
2015-11-15,1337.8154761904761,Basso
2015-11-22,1355.452380952381,Basso
2015-11-29,1328.9464285714287,Basso
2015-12-06,1527.0833333333333,Alto
2015-12-13,1363.9464285714287,Basso
2015-12-20,1528.9166666666667,Alto
2015-12-27,1178.8392857142858,Basso
2016-01-03,1507.4880952380952,Alto
2016-01-10,1725.6845238095239,Alto
2016-01-17,1900.6845238095239,Alto
2016-01-24,2299.029761904762,Alto
2016-01-31,1719.7261904761904,Alto
2016-02-07,1538.9583333333333,Alto
2016-02-14,2168.7678571428573,Alto
2016-02-21,1631.2857142857142,Alto
2016-02-28,1558.345238095238,Alto
2016-03-06,1608.517857142857,Alto
2016-03-13,1173.1616766467066,Basso
