Datetime,FE_MW,Consumption
2011-06-05,7896.63025210084,Alto
2011-06-12,8611.19642857143,Alto
2011-06-19,7454.410714285715,Basso
2011-06-26,7920.827380952381,Alto
2011-07-03,8176.386904761905,Alto
2011-07-10,8479.363095238095,Alto
2011-07-17,8940.994047619048,Alto
2011-07-24,10326.97619047619,Alto
2011-07-31,9514.916666666666,Alto
2011-08-07,9446.065476190477,Alto
2011-08-14,8262.779761904761,Alto
2011-08-21,8256.67857142857,Alto
2011-08-28,7991.809523809524,Alto
2011-09-04,8718.267857142857,Alto
2011-09-11,7086.398809523809,Basso
2011-09-18,7232.047619047619,Basso
2011-09-25,7115.285714285715,Basso
2011-10-02,7067.464285714285,Basso
2011-10-09,7009.4702380952385,Basso
2011-10-16,6990.244047619048,Basso
2011-10-23,7190.523809523809,Basso
2011-10-30,7217.321428571428,Basso
2011-11-06,7177.766467065869,Basso
2011-11-13,7172.4047619047615,Basso
2011-11-20,7420.380952380952,Basso
2011-11-27,6935.25,Basso
2011-12-04,7833.8452380952385,Alto
2011-12-11,8116.023809523809,Alto
2011-12-18,8060.113095238095,Alto
2011-12-25,7654.101190476191,Basso
2012-01-01,7294.285714285715,Basso
2012-01-08,7937.5952380952385,Alto
2012-01-15,8183.803571428572,Alto
2012-01-22,8434.970238095239,Alto
2012-01-29,8129.678571428572,Alto
2012-02-05,7747.976190476191,Basso
2012-02-12,8226.041666666666,Alto
2012-02-19,7959.261904761905,Alto
2012-02-26,7864.934523809524,Alto
2012-03-04,7780.880952380952,Basso
2012-03-11,7599.383233532934,Basso
2012-03-18,6915.571428571428,Basso
2012-03-25,7102.869047619048,Basso
2012-04-01,7114.732142857143,Basso
2012-04-08,6825.630952380952,Basso
2012-04-15,7107.25,Basso
2012-04-22,6992.160714285715,Basso
2012-04-29,7116.297619047619,Basso
2012-05-06,7382.648809523809,Basso
2012-05-13,6960.452380952381,Basso
2012-05-20,7189.946428571428,Basso
2012-05-27,8028.535714285715,Alto
2012-06-03,7518.6547619047615,Basso
2012-06-10,7532.285714285715,Basso
2012-06-17,8147.613095238095,Alto
2012-06-24,9129.232142857143,Alto
2012-07-01,8846.172619047618,Alto
2012-07-08,9525.02380952381,Alto
2012-07-15,8892.125,Alto
2012-07-22,9434.922619047618,Alto
2012-07-29,9274.202380952382,Alto
2012-08-05,9403.904761904761,Alto
2012-08-12,8173.857142857143,Alto
2012-08-19,7780.9702380952385,Basso
2012-08-26,8122.255952380952,Alto
2012-09-02,8332.92857142857,Alto
2012-09-09,8123.125,Alto
2012-09-16,7217.994047619048,Basso
2012-09-23,6857.196428571428,Basso
2012-09-30,6787.416666666667,Basso
2012-10-07,6877.297619047619,Basso
2012-10-14,6988.107142857143,Basso
2012-10-21,6929.0,Basso
2012-10-28,7071.803571428572,Basso
2012-11-04,7491.281437125748,Basso
2012-11-11,7321.238095238095,Basso
2012-11-18,7480.660714285715,Basso
2012-11-25,6997.767857142857,Basso
