Datetime,NI_MW,Consumption
2004-05-02,8759.297872340425,Basso
2004-05-09,9981.755952380952,Basso
2004-05-16,10794.958333333334,Basso
2004-05-23,10868.69642857143,Basso
2004-05-30,10030.214285714286,Basso
2004-06-06,9989.190476190477,Basso
2004-06-13,13250.744047619048,Alto
2004-06-20,12074.529761904761,Alto
2004-06-27,10566.720238095239,Basso
2004-07-04,12110.875,Alto
2004-07-11,11508.892857142857,Basso
2004-07-18,13147.892857142857,Alto
2004-07-25,12922.041666666666,Alto
2004-08-01,12082.130952380952,Alto
2004-08-08,12411.17857142857,Alto
2004-08-15,10621.42857142857,Basso
2004-08-22,11150.375,Basso
2004-08-29,12480.285714285714,Alto
2004-09-05,12451.994047619048,Alto
2004-09-12,11283.452380952382,Basso
2004-09-19,12143.625,Alto
2004-09-26,11323.422619047618,Basso
2004-10-03,10162.67857142857,Basso
2004-10-10,10119.815476190477,Basso
2004-10-17,10076.10119047619,Basso
2004-10-24,10206.35119047619,Basso
2004-10-31,10256.814371257486,Basso
2004-11-07,10355.761904761905,Basso
2004-11-14,10517.982142857143,Basso
2004-11-21,10521.791666666666,Basso
2004-11-28,10232.75,Basso
2004-12-05,11291.434523809523,Basso
2004-12-12,11250.17857142857,Basso
2004-12-19,12020.875,Alto
2004-12-26,12132.535714285714,Alto
2005-01-02,10765.505952380952,Basso
2005-01-09,11715.232142857143,Alto
2005-01-16,11905.952380952382,Alto
2005-01-23,12417.202380952382,Alto
2005-01-30,11759.886904761905,Alto
2005-02-06,11157.095238095239,Basso
2005-02-13,11261.833333333334,Basso
2005-02-20,11401.684523809523,Basso
2005-02-27,11182.714285714286,Basso
2005-03-06,11238.92857142857,Basso
2005-03-13,11204.166666666666,Basso
2005-03-20,10910.863095238095,Basso
2005-03-27,10557.42857142857,Basso
2005-04-03,10018.700598802396,Basso
2005-04-10,10008.625,Basso
2005-04-17,9990.494047619048,Basso
2005-04-24,10235.732142857143,Basso
2005-05-01,9952.708333333334,Basso
2005-05-08,10068.630952380952,Basso
2005-05-15,10215.654761904761,Basso
2005-05-22,10115.988095238095,Basso
2005-05-29,9986.136904761905,Basso
2005-06-05,10652.755952380952,Basso
2005-06-12,14801.482142857143,Alto
2005-06-19,11814.0,Alto
2005-06-26,14778.72619047619,Alto
2005-07-03,14528.19642857143,Alto
2005-07-10,12859.142857142857,Alto
2005-07-17,15136.666666666666,Alto
2005-07-24,15815.738095238095,Alto
2005-07-31,13885.904761904761,Alto
2005-08-07,15595.577380952382,Alto
2005-08-14,14585.029761904761,Alto
2005-08-21,14063.279761904761,Alto
2005-08-28,12558.845238095239,Alto
2005-09-04,12574.345238095239,Alto
2005-09-11,13819.07142857143,Alto
2005-09-18,12629.857142857143,Alto
2005-09-25,12234.214285714286,Alto
2005-10-02,10730.815476190477,Basso
2005-10-09,11862.94642857143,Alto
2005-10-16,10312.214285714286,Basso
2005-10-23,10314.315476190477,Basso
2005-10-30,10504.898203592815,Basso
2005-11-06,10369.619047619048,Basso
2005-11-13,10444.559523809523,Basso
2005-11-20,11280.297619047618,Basso
2005-11-27,10764.535714285714,Basso
2005-12-04,11936.386904761905,Alto
2005-12-11,12854.142857142857,Alto
2005-12-18,12591.482142857143,Alto
2005-12-25,12135.458333333334,Alto
2006-01-01,10883.708333333334,Basso
2006-01-08,11293.886904761905,Basso
2006-01-15,11382.464285714286,Basso
2006-01-22,11454.0,Basso
2006-01-29,11418.607142857143,Basso
2006-02-05,11436.279761904761,Basso
2006-02-12,11785.72619047619,Alto
2006-02-19,12073.339285714286,Alto
2006-02-26,11601.125,Basso
2006-03-05,11428.809523809523,Basso
2006-03-12,10842.595238095239,Basso
2006-03-19,11082.190476190477,Basso
2006-03-26,11108.583333333334,Basso
2006-04-02,10536.299401197604,Basso
2006-04-09,10545.267857142857,Basso
2006-04-16,10110.684523809523,Basso
2006-04-23,10116.720238095239,Basso
2006-04-30,10189.922619047618,Basso
2006-05-07,10149.083333333334,Basso
2006-05-14,10330.845238095239,Basso
2006-05-21,10117.880952380952,Basso
2006-05-28,11386.767857142857,Basso
2006-06-04,12337.720238095239,Alto
2006-06-11,11542.886904761905,Basso
2006-06-18,12670.02380952381,Alto
2006-06-25,12762.113095238095,Alto
2006-07-02,12433.327380952382,Alto
2006-07-09,12503.869047619048,Alto
2006-07-16,14741.880952380952,Alto
2006-07-23,14592.875,Alto
2006-07-30,16235.059523809523,Alto
2006-08-06,16562.73214285714,Alto
2006-08-13,13542.30357142857,Alto
2006-08-20,13315.613095238095,Alto
