Datetime,PJM_Load_MW,Consumption
1998-04-05,25612.669491525423,Basso
1998-04-12,25318.45238095238,Basso
1998-04-19,25191.505952380954,Basso
1998-04-26,25139.095238095237,Basso
1998-05-03,25194.89880952381,Basso
1998-05-10,25499.166666666668,Basso
1998-05-17,26555.595238095237,Basso
1998-05-24,27593.375,Basso
1998-05-31,28737.196428571428,Basso
1998-06-07,26188.52380952381,Basso
1998-06-14,26468.39880952381,Basso
1998-06-21,31398.369047619046,Alto
1998-06-28,34081.43452380953,Alto
1998-07-05,29993.95238095238,Alto
1998-07-12,29636.29761904762,Basso
1998-07-19,34318.541666666664,Alto
1998-07-26,35752.357142857145,Alto
1998-08-02,32704.14285714286,Alto
1998-08-09,32800.71428571428,Alto
1998-08-16,33231.68452380953,Alto
1998-08-23,31799.04761904762,Alto
1998-08-30,36372.54761904762,Alto
1998-09-06,31273.315476190477,Alto
1998-09-13,28099.01785714286,Basso
1998-09-20,32179.666666666668,Alto
1998-09-27,28788.886904761905,Basso
1998-10-04,26876.083333333332,Basso
1998-10-11,25713.04761904762,Basso
1998-10-18,25457.27380952381,Basso
1998-10-25,25796.233532934133,Basso
1998-11-01,25784.60119047619,Basso
1998-11-08,27422.89880952381,Basso
1998-11-15,26891.833333333332,Basso
1998-11-22,27245.321428571428,Basso
1998-11-29,25351.25,Basso
1998-12-06,26070.35119047619,Basso
1998-12-13,27969.67261904762,Basso
1998-12-20,29316.946428571428,Basso
1998-12-27,29578.178571428572,Basso
1999-01-03,30758.196428571428,Alto
1999-01-10,33373.994047619046,Alto
1999-01-17,31455.666666666668,Alto
1999-01-24,28788.565476190477,Basso
1999-01-31,29731.755952380954,Basso
1999-02-07,29455.059523809523,Basso
1999-02-14,29262.35714285714,Basso
1999-02-21,29243.761904761905,Basso
1999-02-28,31023.559523809523,Alto
1999-03-07,29412.845238095237,Basso
1999-03-14,30983.279761904763,Alto
1999-03-21,28076.839285714286,Basso
1999-03-28,27635.363095238095,Basso
1999-04-04,25082.305389221558,Basso
1999-04-11,25707.25,Basso
1999-04-18,26004.845238095237,Basso
